,Trial,Task_N,Cong_N,Type,TaskType,CongType,Cue,Color,ArrowDirectionRed=Right,ArrowDirectionRed=Left,Move Time[ms],Descision TIme[ms],X pos,Y pos,Is Green Right?,Current Time,Tester Name,Kindergarden Name,Is  Circle Right?,Name,KinderGarden Name,Age,Is Boy?,Is Right?
0,1,Arrow,Cong,,,,arrow,Red,right,left,-100040700,1165666300,1260.0,452.0,,2021-06-02 11:08:06.481308,<kivy.uix.textinput.TextInput object at 0x0000013BFF93F820>,,0.0,aaa,<kivy.uix.textinput.TextInput object at 0x0000013BFF93FDD0>,aaa,False,True
1,2,Color,Cong,ST_SC,S,S,rainbow,Red,right,left,-72473300,1505521600,1253.0,465.0,,2021-06-02 11:08:16.380533,<kivy.uix.textinput.TextInput object at 0x0000013BFF93F820>,,0.0,aaa,<kivy.uix.textinput.TextInput object at 0x0000013BFF93FDD0>,aaa,False,True
2,3,Arrow,Cong,RT_SC,R,S,arrow,Green,left,right,-73502500,1113974700,189.00000000000003,484.00000000000006,,2021-06-02 11:08:21.307714,<kivy.uix.textinput.TextInput object at 0x0000013BFF93F820>,,0.0,aaa,<kivy.uix.textinput.TextInput object at 0x0000013BFF93FDD0>,aaa,False,True
3,4,Color,Cong,ST_SC,S,S,rainbow,Green,left,right,-50889300,1285152500,172.0,475.0,,2021-06-02 11:08:27.285591,<kivy.uix.textinput.TextInput object at 0x0000013BFF93F820>,,0.0,aaa,<kivy.uix.textinput.TextInput object at 0x0000013BFF93FDD0>,aaa,False,True
4,5,Arrow,Cong,RT_RC,R,R,arrow,Red,right,left,-59585400,915275600,1271.0,454.0,,2021-06-02 11:08:31.481226,<kivy.uix.textinput.TextInput object at 0x0000013BFF93F820>,,0.0,aaa,<kivy.uix.textinput.TextInput object at 0x0000013BFF93FDD0>,aaa,False,True
5,6,Color,Cong,ST_RC,S,R,rainbow,Red,right,left,1004207300,-842842700,686.0,127.99999999999997,,2021-06-02 11:08:34.576322,<kivy.uix.textinput.TextInput object at 0x0000013BFF93F820>,,0.0,aaa,<kivy.uix.textinput.TextInput object at 0x0000013BFF93FDD0>,aaa,False,True
6,10,Arrow,Cong,RT_SC,R,S,arrow,Green,left,right,-49069900,1371699700,184.0,470.99999999999994,,2021-06-02 11:08:39.881461,<kivy.uix.textinput.TextInput object at 0x0000013BFF93F820>,,0.0,aaa,<kivy.uix.textinput.TextInput object at 0x0000013BFF93FDD0>,aaa,False,True
7,13,Color,Cong,ST_SC,S,S,rainbow,Green,left,right,-73891200,1093105600,173.00000000000003,476.0,,2021-06-02 11:08:45.343420,<kivy.uix.textinput.TextInput object at 0x0000013BFF93F820>,,0.0,aaa,<kivy.uix.textinput.TextInput object at 0x0000013BFF93FDD0>,aaa,False,True
8,18,Color,Cong,ST_SC,S,S,rainbow,Red,right,left,-110043100,1009831100,1259.0,463.0,,2021-06-02 11:08:49.417262,<kivy.uix.textinput.TextInput object at 0x0000013BFF93F820>,,0.0,aaa,<kivy.uix.textinput.TextInput object at 0x0000013BFF93FDD0>,aaa,False,True
